timestamp,open,high,low,close,volume,tf
1714039200000,63948.20,63949.00,63300.00,63438.30,20080.3050,1h
1714042800000,63438.40,63978.00,63429.50,63826.90,9488.2720,1h
1714046400000,63827.00,64316.50,63188.00,63388.90,25073.4270,1h
1714050000000,63388.90,63549.00,62721.30,63399.90,33611.6660,1h
1714053600000,63400.00,63842.00,63182.40,63358.00,17343.0740,1h
1714057200000,63358.00,64179.00,63224.80,64091.70,16221.5200,1h
1714060800000,64091.60,64497.80,63934.00,64401.60,16160.1520,1h
1714064400000,64401.50,64850.00,64338.00,64674.90,18248.8130,1h
1714068000000,64674.90,64995.70,64404.40,64689.10,13181.6050,1h
1714071600000,64689.20,64759.00,64520.60,64721.50,4991.6710,1h
1714075200000,64721.60,64970.00,64455.00,64758.90,8558.7810,1h
1714078800000,64758.90,65270.60,64636.90,64672.80,12391.0590,1h
1714082400000,64672.80,64712.80,64520.00,64581.10,4770.6820,1h
1714086000000,64581.20,64718.90,64413.40,64478.80,4387.4980,1h
1714089600000,64478.80,64537.40,64071.90,64285.20,10495.2580,1h
1714093200000,64285.70,64640.90,63844.00,64371.00,12960.8660,1h
1714096800000,64370.90,64649.70,64263.50,64470.20,5562.1150,1h
1714100400000,64470.30,64484.00,64269.00,64359.70,3730.8080,1h
1714104000000,64359.60,64373.50,64138.00,64187.00,4940.2250,1h
1714107600000,64187.10,64548.80,63992.60,64527.10,6720.5040,1h
1714111200000,64527.10,64548.90,64216.00,64338.20,4008.9630,1h
1714114800000,64338.20,64590.30,64200.00,64236.60,6655.2410,1h
1714118400000,64236.70,64439.20,64190.10,64385.00,4398.8330,1h
1714122000000,64384.90,64544.80,64294.20,64454.10,4429.0920,1h
1714125600000,64454.10,64534.60,64031.50,64069.10,6952.9350,1h
1714129200000,64069.00,64246.10,64035.00,64213.60,4234.9570,1h
1714132800000,64213.60,64500.00,63911.20,64114.50,12141.6960,1h
1714136400000,64114.50,64566.10,63650.00,64465.40,23577.7070,1h
1714140000000,64465.40,64783.10,63761.30,63827.10,26541.8240,1h
1714143600000,63827.20,63999.00,63325.00,63481.30,19042.3330,1h
1714147200000,63481.20,63764.40,63291.50,63639.00,11604.9350,1h
1714150800000,63639.00,64100.00,63521.20,63984.00,11425.0440,1h
1714154400000,63984.50,64156.00,63911.30,64032.10,4980.4970,1h
1714158000000,64032.10,64116.40,63711.00,63723.60,4843.0650,1h
1714161600000,63723.60,64097.40,63723.60,63949.10,4019.5390,1h
1714165200000,63949.10,64059.10,63796.10,64029.60,2436.7170,1h
1714168800000,64029.60,64029.60,63648.60,63799.70,4132.6690,1h
1714172400000,63799.70,63893.70,63720.90,63748.80,2313.9900,1h
1714176000000,63748.70,63901.40,62807.10,63154.90,21100.7380,1h
1714179600000,63155.00,63253.10,62332.80,62564.90,21228.3400,1h
1714183200000,62565.00,63300.00,62449.00,62888.40,12641.2100,1h
1714186800000,62888.30,63129.10,62773.30,63047.20,4723.4520,1h
1714190400000,63047.20,63157.60,62905.40,63025.00,4177.6450,1h
1714194000000,63025.00,63079.50,62760.70,62957.60,5083.9230,1h
1714197600000,62957.70,63115.90,62840.00,62996.80,4215.3400,1h
1714201200000,62996.70,63139.00,62920.00,62944.30,3776.1190,1h
1714204800000,62944.30,63044.60,62886.80,62999.90,2850.9190,1h
1714208400000,62999.80,63035.00,62850.10,62958.20,3363.2840,1h
1714212000000,62958.10,62968.00,62703.00,62772.40,4308.2250,1h
1714215600000,62772.40,62926.80,62650.00,62834.50,3981.9100,1h
1714219200000,62834.40,63149.70,62780.30,63008.40,6971.0050,1h
1714222800000,63008.40,63227.50,62965.70,63191.50,5116.8410,1h
1714226400000,63191.50,63390.80,63025.00,63101.80,6370.9210,1h
1714230000000,63101.80,63177.00,62815.30,62928.40,4899.9330,1h
1714233600000,62928.30,63082.70,62704.50,62712.80,6775.5250,1h
1714237200000,62712.90,63624.40,62700.20,63381.10,13526.0360,1h
1714240800000,63381.10,63576.30,62800.00,63303.00,15626.9310,1h
1714244400000,63303.00,63368.00,63157.60,63329.80,3130.5130,1h
1714248000000,63329.90,63448.20,63128.20,63249.10,3371.8110,1h
1714251600000,63249.10,63337.10,63115.00,63255.20,1730.0290,1h
1714255200000,63255.30,63476.30,63199.20,63228.00,4101.1170,1h
1714258800000,63228.00,63532.60,63228.00,63421.00,4277.3420,1h
1714262400000,63420.90,63748.00,63420.90,63583.30,5336.5150,1h
1714266000000,63583.30,63675.00,63487.00,63569.30,3070.4650,1h
1714269600000,63569.30,64039.00,63512.50,63919.40,7399.4300,1h
1714273200000,63919.40,64350.00,63900.10,63989.80,12556.5420,1h
1714276800000,63989.90,64022.00,63794.50,63813.00,4716.2010,1h
1714280400000,63813.00,63969.90,63770.70,63921.00,4138.8160,1h
1714284000000,63921.10,63993.00,63760.90,63935.70,3353.6400,1h
1714287600000,63935.80,64041.40,63864.00,63883.10,2489.5910,1h
1714291200000,63883.20,63954.60,63633.90,63677.80,4354.8920,1h
1714294800000,63677.70,63802.60,63635.70,63728.40,3113.8800,1h
1714298400000,63728.30,63768.90,63230.70,63663.80,8320.4440,1h
1714302000000,63663.70,63682.20,63355.50,63459.10,5423.9010,1h
1714305600000,63459.00,63644.90,63385.10,63547.70,4252.1460,1h
1714309200000,63547.70,63832.00,63499.90,63740.20,5781.5430,1h
1714312800000,63740.20,63758.40,63450.00,63573.30,4896.0240,1h
1714316400000,63573.30,63626.80,63423.70,63508.60,2763.2800,1h
1714320000000,63508.50,63770.10,63446.20,63676.50,5081.7320,1h
1714323600000,63676.50,63798.20,63533.10,63730.10,3051.1180,1h
1714327200000,63730.10,63973.90,63662.00,63900.40,3766.0480,1h
1714330800000,63900.40,63906.00,63672.20,63688.90,2481.8420,1h
1714334400000,63688.90,63716.90,63551.20,63654.70,2152.5120,1h
1714338000000,63654.70,63714.60,63569.50,63640.80,1350.0240,1h
1714341600000,63640.90,63691.50,62745.80,63127.90,13739.7790,1h
1714345200000,63127.90,63143.00,62700.00,63088.30,12465.7860,1h
1714348800000,63088.40,63294.10,62952.00,63229.20,6018.9020,1h
1714352400000,63229.20,63337.80,63051.70,63197.80,3672.6810,1h
1714356000000,63197.90,63265.10,62516.70,62678.30,10487.8810,1h
1714359600000,62678.20,62750.00,62056.10,62259.90,13750.4830,1h
1714363200000,62259.90,62632.10,62173.70,62515.70,8287.9100,1h
1714366800000,62515.60,62515.60,62020.70,62422.30,8420.9400,1h
1714370400000,62422.30,62438.70,61888.00,62171.00,13483.9350,1h
1714374000000,62170.90,62386.70,61913.40,62362.00,9910.9780,1h
1714377600000,62362.10,62465.00,62185.90,62371.80,5256.3680,1h
1714381200000,62371.90,62633.00,62241.50,62508.60,5389.3620,1h
1714384800000,62508.60,62658.70,62356.60,62368.30,6198.4180,1h
1714388400000,62368.30,62408.30,62150.00,62222.90,6111.6040,1h
1714392000000,62222.60,62636.60,62001.10,62581.30,12593.9880,1h
1714395600000,62581.30,62688.00,61726.20,61990.10,20386.7190,1h
1714399200000,61990.10,62986.30,61847.40,62810.00,23387.9970,1h
1714402800000,62810.00,63085.00,62700.00,63012.20,10119.3410,1h
1714406400000,63012.20,63149.80,62719.80,62761.90,9220.9700,1h
1714410000000,62761.90,63227.30,62733.40,63000.00,7469.7360,1h
1714413600000,63000.00,63028.60,62681.40,62842.90,4272.0890,1h
1714417200000,62843.00,62966.50,62511.10,62953.40,9393.9430,1h
1714420800000,62953.40,63111.00,62857.90,62942.10,4308.5820,1h
1714424400000,62942.10,63161.30,62787.60,63066.40,2732.4140,1h
1714428000000,63066.40,63929.90,63012.90,63860.00,16440.4090,1h
1714431600000,63860.10,64200.00,63780.00,63842.40,11095.5130,1h
1714435200000,63842.40,64700.00,63670.40,64565.90,17055.1340,1h
1714438800000,64565.90,64595.60,63503.30,63580.40,14108.6300,1h
1714442400000,63580.40,63874.80,63075.90,63754.00,18026.8890,1h
1714446000000,63754.10,63810.50,63536.60,63627.10,5166.2210,1h
1714449600000,63627.10,63691.30,63321.10,63384.60,4892.0760,1h
1714453200000,63384.70,63467.30,63050.00,63295.90,7723.2460,1h
1714456800000,63296.00,63440.00,63198.50,63377.50,3865.2780,1h
1714460400000,63377.60,63434.20,63109.60,63123.80,5401.3300,1h
1714464000000,63123.70,63220.40,61801.00,61904.90,32371.2120,1h
1714467600000,61905.00,62134.50,61476.10,61659.00,23971.4060,1h
1714471200000,61658.90,61770.00,61379.00,61759.00,13566.4520,1h
1714474800000,61759.10,61759.10,61000.00,61182.30,22839.1840,1h
1714478400000,61182.30,61316.30,60714.00,61204.60,23816.8200,1h
1714482000000,61204.70,61298.60,60755.80,60800.00,15020.7930,1h
1714485600000,60800.10,61576.10,60517.60,61213.60,29311.5200,1h
1714489200000,61213.70,61371.60,60568.10,60764.90,18592.7930,1h
1714492800000,60764.90,60887.90,60123.00,60315.50,28828.6420,1h
1714496400000,60315.50,60489.00,60042.40,60352.40,15999.2400,1h
1714500000000,60352.40,60529.00,60000.00,60388.00,13332.6170,1h
1714503600000,60388.00,60486.00,59150.00,59276.20,41027.6010,1h
1714507200000,59276.10,60165.20,59256.60,59931.80,22799.6760,1h
1714510800000,59931.90,60383.20,59927.60,60149.20,7983.9890,1h
1714514400000,60149.20,61063.20,60126.00,60561.00,16550.1140,1h
1714518000000,60560.90,60901.60,60372.00,60651.20,6496.8400,1h
1714521600000,60651.20,60816.70,60060.60,60217.20,10900.3840,1h
1714525200000,60217.30,60389.00,59833.00,60110.60,11290.5560,1h
1714528800000,60110.60,60159.20,59555.00,59902.40,13309.7070,1h
1714532400000,59902.30,60294.80,59873.00,60214.00,6341.7940,1h
1714536000000,60214.00,60331.80,60156.20,60262.60,4701.5790,1h
1714539600000,60262.60,60317.10,59923.40,60030.10,7410.2520,1h
1714543200000,60030.10,60093.80,59455.60,59504.00,10437.0720,1h
1714546800000,59504.00,59553.80,57030.00,57482.00,89034.0230,1h
1714550400000,57482.00,57573.40,56537.70,57153.10,52439.2490,1h
1714554000000,57153.00,57640.00,57016.80,57090.00,20996.7320,1h
1714557600000,57090.00,57753.60,56855.00,57742.70,19944.0040,1h
1714561200000,57742.70,57881.00,57433.00,57862.10,11939.6420,1h
1714564800000,57862.20,58257.80,57693.80,57946.30,20476.1810,1h
1714568400000,57946.30,57975.00,57142.60,57283.40,24236.7770,1h
1714572000000,57283.50,57575.00,57035.40,57461.50,18235.9030,1h
1714575600000,57461.50,57496.80,56651.20,56865.20,23722.1610,1h
1714579200000,56865.30,57434.70,56729.90,57021.70,17948.8880,1h
1714582800000,57021.70,57760.00,56600.00,57398.60,19540.4500,1h
1714586400000,57398.50,59438.20,57256.70,58884.40,68962.0610,1h
1714590000000,58884.40,59232.80,56860.00,56935.70,56904.0110,1h
1714593600000,56935.70,57518.00,56729.00,57334.20,18836.9150,1h
1714597200000,57334.10,58147.10,57231.10,57888.00,13757.3400,1h
1714600800000,57888.00,58188.60,57824.50,57857.90,8709.5940,1h
1714604400000,57858.00,58550.80,57800.00,58307.60,14033.1250,1h
1714608000000,58307.70,58571.10,57616.00,57736.50,14483.7190,1h
1714611600000,57736.40,57873.30,56951.60,57096.60,17976.8430,1h
1714615200000,57096.50,57627.20,57087.90,57439.10,10036.3360,1h
1714618800000,57439.10,57661.50,57344.90,57407.60,6145.5150,1h
1714622400000,57407.70,57619.00,57274.00,57373.00,4694.5080,1h
1714626000000,57372.90,57514.00,57175.40,57463.20,6164.9660,1h
1714629600000,57463.10,57710.40,57379.60,57600.70,6342.2440,1h
1714633200000,57600.80,57933.10,57592.50,57645.00,7441.4770,1h
1714636800000,57645.00,57949.50,57572.90,57804.60,8250.5240,1h
